reduced test : 210, coverage : 0.9048582995951417, cross entropy : 0.009071148858071833, accuracy : 0.9952380952380953
reduced test : 211, coverage : 0.9048582995951417, cross entropy : 0.009195531028836981, accuracy : 0.995260663507109
reduced test : 212, coverage : 0.9048582995951417, cross entropy : 0.009381772391243548, accuracy : 0.9952830188679245
reduced test : 213, coverage : 0.9048582995951417, cross entropy : 0.009309945106618488, accuracy : 0.9953051643192489
reduced test : 214, coverage : 0.9048582995951417, cross entropy : 0.009174625292604353, accuracy : 0.9953271028037384
reduced test : 215, coverage : 0.9048582995951417, cross entropy : 0.009092408239141382, accuracy : 0.9953488372093023
reduced test : 216, coverage : 0.9048582995951417, cross entropy : 0.008945295303399374, accuracy : 0.9953703703703703
reduced test : 217, coverage : 0.9048582995951417, cross entropy : 0.008875239152172582, accuracy : 0.9953917050691244
reduced test : 218, coverage : 0.9048582995951417, cross entropy : 0.00877631362827123, accuracy : 0.9954128440366973
reduced test : 219, coverage : 0.9048582995951417, cross entropy : 0.008847663068173231, accuracy : 0.9954337899543378
reduced test : 220, coverage : 0.9048582995951417, cross entropy : 0.008794510916543314, accuracy : 0.9954545454545455
reduced test : 221, coverage : 0.9048582995951417, cross entropy : 0.0089205498614803, accuracy : 0.995475113122172
reduced test : 222, coverage : 0.9048582995951417, cross entropy : 0.008814902940485677, accuracy : 0.9954954954954955
reduced test : 223, coverage : 0.9048582995951417, cross entropy : 0.008791601994643372, accuracy : 0.9955156950672646
reduced test : 224, coverage : 0.9048582995951417, cross entropy : 0.008593448061737388, accuracy : 0.9955357142857143
reduced test : 225, coverage : 0.9048582995951417, cross entropy : 0.008528531045554464, accuracy : 0.9955555555555555
reduced test : 226, coverage : 0.9048582995951417, cross entropy : 0.008417465016540806, accuracy : 0.995575221238938
reduced test : 227, coverage : 0.9048582995951417, cross entropy : 0.008423632729090044, accuracy : 0.9955947136563876
reduced test : 228, coverage : 0.9048582995951417, cross entropy : 0.008400610714012748, accuracy : 0.9956140350877193
reduced test : 229, coverage : 0.9048582995951417, cross entropy : 0.008427456226562543, accuracy : 0.9956331877729258
reduced test : 230, coverage : 0.9048582995951417, cross entropy : 0.00836331348666368, accuracy : 0.9956521739130435
reduced test : 231, coverage : 0.9048582995951417, cross entropy : 0.00848194383440396, accuracy : 0.9956709956709957
reduced test : 232, coverage : 0.9048582995951417, cross entropy : 0.00845810153265367, accuracy : 0.9956896551724138
reduced test : 233, coverage : 0.9048582995951417, cross entropy : 0.008480803272871628, accuracy : 0.9957081545064378
reduced test : 234, coverage : 0.9048582995951417, cross entropy : 0.008426907543364722, accuracy : 0.9957264957264957
reduced test : 235, coverage : 0.9048582995951417, cross entropy : 0.008365995852395062, accuracy : 0.9957446808510638
reduced test : 236, coverage : 0.9048582995951417, cross entropy : 0.008307962266928075, accuracy : 0.9957627118644068
reduced test : 237, coverage : 0.9048582995951417, cross entropy : 0.008301684470378053, accuracy : 0.9957805907172996
reduced test : 238, coverage : 0.9048582995951417, cross entropy : 0.008051136888919827, accuracy : 0.9957983193277311
reduced test : 239, coverage : 0.9048582995951417, cross entropy : 0.007956178547955366, accuracy : 0.99581589958159
reduced test : 240, coverage : 0.9048582995951417, cross entropy : 0.0079142948173122, accuracy : 0.9958333333333333
reduced test : 241, coverage : 0.9048582995951417, cross entropy : 0.008015025842198785, accuracy : 0.995850622406639
reduced test : 242, coverage : 0.9048582995951417, cross entropy : 0.007945160369482514, accuracy : 0.9958677685950413
reduced test : 243, coverage : 0.9048582995951417, cross entropy : 0.0078065573483443035, accuracy : 0.9958847736625515
reduced test : 244, coverage : 0.9048582995951417, cross entropy : 0.007709677776266109, accuracy : 0.9959016393442623
reduced test : 245, coverage : 0.9048582995951417, cross entropy : 0.007575365717661493, accuracy : 0.9959183673469387
reduced test : 246, coverage : 0.9048582995951417, cross entropy : 0.007526047495852309, accuracy : 0.9959349593495935
reduced test : 247, coverage : 0.9048582995951417, cross entropy : 0.00749980026677251, accuracy : 0.9959514170040485
reduced test : 248, coverage : 0.9048582995951417, cross entropy : 0.007416298739986829, accuracy : 0.9959677419354839
reduced test : 249, coverage : 0.9048582995951417, cross entropy : 0.007391900565656401, accuracy : 0.9959839357429718
reduced test : 250, coverage : 0.9048582995951417, cross entropy : 0.007331388332110257, accuracy : 0.996
reduced test : 251, coverage : 0.9048582995951417, cross entropy : 0.007158275482773547, accuracy : 0.9960159362549801
reduced test : 252, coverage : 0.9048582995951417, cross entropy : 0.007079380305679244, accuracy : 0.996031746031746
reduced test : 253, coverage : 0.9048582995951417, cross entropy : 0.006991625865993464, accuracy : 0.9960474308300395
reduced test : 254, coverage : 0.9048582995951417, cross entropy : 0.007007950705597454, accuracy : 0.9960629921259843
reduced test : 255, coverage : 0.9048582995951417, cross entropy : 0.007232656996512582, accuracy : 0.996078431372549
reduced test : 256, coverage : 0.9048582995951417, cross entropy : 0.007382607522003199, accuracy : 0.99609375
reduced test : 257, coverage : 0.9048582995951417, cross entropy : 0.007392449079032954, accuracy : 0.9961089494163424
reduced test : 258, coverage : 0.9048582995951417, cross entropy : 0.007301466565706925, accuracy : 0.9961240310077519
reduced test : 259, coverage : 0.9048582995951417, cross entropy : 0.0072385360963261244, accuracy : 0.9961389961389961
reduced test : 260, coverage : 0.9048582995951417, cross entropy : 0.007180726222975433, accuracy : 0.9961538461538462
reduced test : 261, coverage : 0.9048582995951417, cross entropy : 0.007147113814703869, accuracy : 0.9961685823754789
reduced test : 262, coverage : 0.9048582995951417, cross entropy : 0.007079025319359926, accuracy : 0.9961832061068703
reduced test : 263, coverage : 0.9048582995951417, cross entropy : 0.007028567045705726, accuracy : 0.9961977186311787
reduced test : 264, coverage : 0.9048582995951417, cross entropy : 0.006974237779692065, accuracy : 0.9962121212121212
reduced test : 265, coverage : 0.9048582995951417, cross entropy : 0.006930328571165859, accuracy : 0.9962264150943396
reduced test : 266, coverage : 0.9048582995951417, cross entropy : 0.00689005018988687, accuracy : 0.9962406015037594
reduced test : 267, coverage : 0.9048582995951417, cross entropy : 0.006887200609755851, accuracy : 0.9962546816479401
reduced test : 268, coverage : 0.9048582995951417, cross entropy : 0.006840599128392172, accuracy : 0.996268656716418
reduced test : 269, coverage : 0.9048582995951417, cross entropy : 0.006761503893397064, accuracy : 0.9962825278810409
reduced test : 270, coverage : 0.9048582995951417, cross entropy : 0.006659642610807574, accuracy : 0.9962962962962963
reduced test : 271, coverage : 0.9048582995951417, cross entropy : 0.006632014942585228, accuracy : 0.996309963099631
reduced test : 272, coverage : 0.9048582995951417, cross entropy : 0.0065240864462580775, accuracy : 0.9963235294117647
reduced test : 273, coverage : 0.9048582995951417, cross entropy : 0.006491019086292406, accuracy : 0.9963369963369964
reduced test : 274, coverage : 0.9048582995951417, cross entropy : 0.006497700072656184, accuracy : 0.9963503649635036
reduced test : 275, coverage : 0.9048582995951417, cross entropy : 0.006448448720646817, accuracy : 0.9963636363636363
reduced test : 276, coverage : 0.9048582995951417, cross entropy : 0.0064441759429962565, accuracy : 0.9963768115942029
reduced test : 277, coverage : 0.9048582995951417, cross entropy : 0.006435958427405594, accuracy : 0.9963898916967509
reduced test : 278, coverage : 0.9048582995951417, cross entropy : 0.006368099838693038, accuracy : 0.9964028776978417
reduced test : 279, coverage : 0.9048582995951417, cross entropy : 0.006374151964678219, accuracy : 0.996415770609319
reduced test : 280, coverage : 0.9048582995951417, cross entropy : 0.0063999848970606845, accuracy : 0.9964285714285714
reduced test : 281, coverage : 0.9048582995951417, cross entropy : 0.006355675689250049, accuracy : 0.99644128113879
reduced test : 282, coverage : 0.9048582995951417, cross entropy : 0.006292738306833907, accuracy : 0.9964539007092199
reduced test : 283, coverage : 0.9048582995951417, cross entropy : 0.006240804281589314, accuracy : 0.9964664310954063
reduced test : 284, coverage : 0.9048582995951417, cross entropy : 0.00621227726440808, accuracy : 0.9964788732394366
reduced test : 285, coverage : 0.9048582995951417, cross entropy : 0.006285040710028831, accuracy : 0.9964912280701754
reduced test : 286, coverage : 0.9048582995951417, cross entropy : 0.006235825587540051, accuracy : 0.9965034965034965
reduced test : 287, coverage : 0.9048582995951417, cross entropy : 0.006236172462087788, accuracy : 0.9965156794425087
reduced test : 288, coverage : 0.9048582995951417, cross entropy : 0.006225188271529967, accuracy : 0.9965277777777778
reduced test : 289, coverage : 0.9048582995951417, cross entropy : 0.006193069823569519, accuracy : 0.9965397923875432
reduced test : 290, coverage : 0.9048582995951417, cross entropy : 0.006138723561230357, accuracy : 0.996551724137931
